Domaine,Catégories,Visites,Part sur ordinateur,nombre vue ordinateur,Part sur mobile,nombre vue mobile,MoM,YoY,Principale source de trafic,Description catégorie
marmiton.org,8,51610000.0,9.78,5050000.0,90.22,46560000.0,6.31%,-9.03%,Recherche,Forums
ameli.fr,8,49220000.0,34.05,16760000.000000002,65.95,32460000.0,4.72%,-9.58%,Direct,Forums
actu.fr,7,49080000.0,25.43,12480000.0,74.57,36600000.0,20.3%,19.81%,Direct,Informations
20minutes.fr,7,48820000.0,11.06,5400000.0,88.94,43420000.0,25.11%,-21.14%,Direct,Informations
qwant.com,1,46710000.0,11.49,5370000.0,88.51,41350000.0,-5.88%,-1.09%,Direct,Internet global
footmercato.net,8,46180000.0,6.75,3120000.0,93.25,43060000.0,8.41%,-21.32%,Direct,Forums
cdiscount.com,4,45500000.0,26.29,11960000.0,73.71,33540000.0,-6.61%,-19.06%,Direct,E-commerce
doctolib.fr,8,45370000.0,28.96,13140000.0,71.04,32229999.999999996,-8.41%,-2.12%,Direct,Forums
leparisien.fr,7,45370000.0,14.86,6740000.0,85.14,38630000.0,23.44%,-3.5%,Direct,Informations
wiflix.cloud,1,45240000.0,6.2,2810000.0,93.8,42430000.0,0%,0%,Direct,Internet global
service-public.fr,8,44940000.0,34.03,15290000.0,65.97,29650000.0,2.78%,-15.92%,Recherche,Forums
filmoflix.to,9,44500000.0,6.15,2740000.0,93.85,41770000.0,13.18%,0%,Direct,Streaming
3hentai.net,3,44030000.0,0.55,241.76K,99.45,43790000.0,-26.37%,411.46%,Direct,Pornographique
sfr.fr,6,42460000.0,34.86,14800000.0,65.14,27660000.0,10.32%,2.88%,Direct,Opérateur
leroymerlin.fr,4,42020000.0,28.04,11780000.0,71.96,30240000.0,7.22%,-11.19%,Recherche,E-commerce
education.gouv.fr,1,40230000.0,33.03,13290000.0,66.97,26950000.0,10.12%,11.55%,Référent,Internet global
microsoftonline.com,1,39460000.0,82.25,32450000.000000004,17.75,7000000.0,2.27%,15.15%,Référent,Internet global
franceconnect.gouv.fr,1,37580000.0,56.31,21160000.0,43.69,16420000.000000002,4.26%,1.81%,Référent,Internet global
meteociel.fr,7,37570000.0,9.67,3630000.0,90.33,33940000.0,39.83%,-6.39%,Direct,Informations
ladepeche.fr,7,36440000.0,12.6,4590000.0,87.4,31840000.0,21.83%,1.01%,Direct,Informations
booking.com,8,36030000.0,42.55,15330000.0,57.45,20700000.0,12.9%,-2.58%,Direct,Forums
credit-agricole.fr,10,35740000.0,52.51,18770000.0,47.49,16970000.0,-5.6%,-10.85%,Direct,Banque
office.com,1,35560000.0,54.88,19520000.0,45.12,16050000.0,3.81%,-16.07%,Direct,Internet global
whatsapp.com,2,35060000.0,62.25,21830000.0,37.75,13240000.0,12.68%,39.93%,Direct,Réseaux sociaux
pole-emploi.fr,8,34280000.0,22.24,7620000.0,77.76,26660000.0,-15.49%,-0.95%,Référent,Forums
neko-sama.fr,5,34230000.0,4.47,1530000.0,95.53,32700000.000000004,-27.72%,41.83%,Direct,Manga
canva.com,8,32210000.0,85.27,27470000.0,14.73,4740000.0,5.69%,8.35%,Direct,Forums
journaldesfemmes.fr,7,31920000.0,12.3,3930000.0,87.7,28000000.0,10.29%,-31.1%,Recherche,Informations
fnac.com,4,30750000.0,31.73,9760000.0,68.27,21000000.0,-1.14%,-13.78%,Direct,E-commerce
1fichier.com,1,30240000.0,54.5,16480000.0,45.5,13760000.0,3.04%,56.39%,Référent,Internet global
radiofrance.fr,7,30180000.0,17.09,5160000.0,82.91,25030000.0,9.37%,5.42%,Direct,Informations
dealabs.com,4,30100000.0,26.58,8000000.0,73.42,22100000.0,6.91%,-14.23%,Direct,E-commerce
indeed.com,1,29860000.0,29.99,8960000.0,70.01,20910000.0,7.56%,-1.05%,Direct,Internet global
impots.gouv.fr,1,29780000.0,58.25,17350000.0,41.75,12430000.0,4.09%,-4.33%,Direct,Internet global
notube.lol,1,29540000.0,10.73,3170000.0,89.27,26370000.0,1.01%,21061.33%,Direct,Internet global
canalplus.com,9,29490000.0,73.65,21720000.0,26.35,7770000.0,4.15%,5.14%,Direct,Streaming
phenixscans.fr,5,28870000.0,1.26,365.21K,98.74,28510000.0,-20.17%,0%,Direct,Manga
pinterest.fr,8,28850000.0,56.76,16370000.000000002,43.24,12470000.0,5.72%,-1.34%,Direct,Forums
francetravail.fr,1,28520000.0,26.27,7490000.0,73.73,21030000.0,76.32%,8206.141%,Direct,Internet global
france.tv,9,28480000.0,39.52,11250000.0,60.48,17230000.0,1.71%,-1.61%,Direct,Streaming
manga-scantrad.io,5,28320000.0,1.89,535.8K,98.11,27780000.0,-17.62%,685.49%,Direct,Manga
boursorama.com,10,28280000.0,30.27,8560000.0,69.73,19720000.0,-6.68%,-29.37%,Direct,Banque
lelmanga.com,5,27880000.0,2.09,583.17K,97.91,27300000.0,-15.83%,64.19%,Direct,Manga
sudouest.fr,7,27720000.0,14.71,4080000.0,85.29,23640000.0,14.92%,10.82%,Direct,Informations
paypal.com,10,27410000.0,43.19,11840000.0,56.81,15570000.0,9.52%,-10.23%,Direct,Banque
sushiscan.net,5,27050000.0,2.67,722.12K,97.33,26330000.0,-19.01%,1677.91%,Direct,Manga
caf.fr,1,26900000.0,42.42,11410000.0,57.58,15490000.0,-3.11%,-3.94%,Direct,Internet global
edf.fr,6,26330000.0,21.81,5740000.0,78.19,20580000.0,5.16%,17.33%,Direct,Opérateur
linternaute.com,8,25890000.0,25.49,6600000.0,74.51,19290000.0,47.58%,-14.96%,Direct,Forums
cuisineaz.com,8,25870000.0,11.28,2920000.0,88.72,22960000.0,1.84%,6.17%,Recherche,Forums
seloger.com,8,25810000.0,23.85,6160000.0,76.15,19650000.0,11.78%,-2.41%,Direct,Forums
tf1.fr,9,25750000.0,53.09,13670000.0,46.91,12080000.0,7.06%,-10.24%,Direct,Streaming
vinted.fr,4,25200000.0,55.13,13890000.0,44.87,11310000.0,2.92%,-2.45%,Direct,E-commerce
temu.com,4,25120000.0,41.6,10450000.0,58.4,14670000.0,31.02%,78039.75%,Direct,E-commerce
sncf-connect.com,4,25020000.0,38.97,9750000.0,61.03,15270000.0,4.66%,-8.31%,Direct,E-commerce
